Manufacturer;Model;Mass;Length;Width;Height;Ground clearance;Steering angle;Wheel width;Wheel diameter;Engine output;Tractive force;Velocity;Tank volume;Pump volume;Load capacity
Ponsse;Wisent;16300;9080;2690;3810;645;44;707,424;1340;145;165;20;150;130;12000
Ponsse;Mammoth;28500;11090;3168;4000;770;42,5;776,355;1525;210;320;20;265;90;25000
Ponsse;Elk;17700;9380;2690;3860;670;44;707,424;1340;145;175;20;150;130;13000
Ponsse;Elephant King;22900;10150;3070;3990;800;44;707,424;1340;210;240;20;260;170;20000
Ponsse;Elephant;22000;10150;2990;3990;800;44;707,424;1340;205;220;20;260;170;18000
Ponsse;Buffalo King;20600;10600;2990;3910;730;44;707,424;1340;210;210;20;200;170;18000
Ponsse;Buffalo;18600;9610;2895;3860;680;44;707,424;1340;210;185;20;200;170;14000
Ponsse;Bison;22000;10130;2950;3900;680;44;707,424;1340;210;210;20;215;115;16000
Rottne;F20;23000;10860;3050;3913;753;43;750;1340;207;270;20;210;130;20000
Rottne;F18;22900;10870;3050;3913;753;43;750;1340;207;260;20;210;130;18000
Rottne;F15;18700;9834;2890;3819;668;43;710;1340;164;177;25;165;105;15000
Rottne;F13;19900;9834;2924;3819;668;43;710;1340;164;177;25;165;105;14000
Rottne;F11;16200;8833;2830;3727;577;45;710;1230;125;167;24;135;80;12000
Rottne;F10;14500;8833;2800;3697;547;43;710;1171;125;145;25;135;80;10000
Komatsu;895;23600;10790;3160;4050;790;42;780;1525;214;262;23;220;150;20000
Komatsu;875;20100;10360;2980;3880;710;42;710;1340;190;214;23;220;150;16000
Komatsu;855;18100;10080;2730;3880;710;42;600;1340;170;187;25;160;120;14000
Komatsu;845;16950;9380;2620;3840;660;43;710;1340;140;170;25;142;128;12000
Komatsu;825TX;14580;9380;2600;3800;580;43;600;1171;127;150;25;145;128;9000
Komatsu;835TX;16040;9380;2620;3800;610;43;710;1230;127;163;25;145;128;11000
John Deere;910G;14950;8655;2790;3685;638;44;710;1230;118;150;23;150;150;9000
John Deere;1010G;16050;8655;2780;3712;665;44;710;1340;131;160;23;150;150;11000
John Deere;1110G;17130;9820;2890;3870;660;44;710;1340;145;160;23;167;161;12000
John Deere;1210G;18080;9820;2956;3800;660;44;710;1340;156;175;23;167;161;13000
John Deere;1510G;18230;9820;2956;3800;660;44;710;1340;164;185;23;167;161;15000
John Deere;1910G;22227;10567;3090;4039;803;42;710;1340;200;230;21;184;185;19000
Ecolog;750F;11000;8160;2400;3570;577;33,5;500;1171;119;120;20;123;130;8500
Ecolog;1050F;12500;8240;2580;3660;577;32,5;600;1171;129;140;20;123;130;10500
Ecolog;1250F;16500;9293;2840;3820;620;39,5;710;1171;149;180;20;200;185;12500
Ecolog;574F;20000;10055;2640;3840;650;40;600;1340;185;195;20;195;180;14000
Ecolog;584F;21000;10625;2910;3840;650;40;710;1340;210;225;20;195;180;16000
Ecolog;594F;23500;10535;3155;3930;720;40;750;1340;235;260;20;195;180;20000
HSM;208F 7 t;13900;9242;2500;3635;601;45;600;1171;129;151,2331;14;150;110;7000
HSM;208F 9 t;14800;9502;2500;3635;601;45;710;1171;129;151,2331;14;150;110;9000
HSM;208F 10 t;17200;9840;2600;3692;651;45;710;1340;129;151,2331;14;170;130;10000
HSM;208F 11 t;17800;10233;2600;3692;651;45;710;1340;185;211,0355;14;190;130;11000
HSM;208F 12 t;18200;10874;2600;3692;652;45;710;1340;185;211,0355;14;190;130;12000
HSM;208F 14 t;18500;10966;3025,335;3742;674;45;710;1340;185;211,0355;14;225;130;14000
HSM;208F 20 t;21800;11246;3073,635;3887;726;45;750;1340;210;237,733;14;285;170;20000
